,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
44,High,2022-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Low,2022-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Low,2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,High,2022-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,High,2022-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,High,2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,High,2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,High,2022-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Low,2022-01-22,32.0,75.0,35.0,32.0,52.0,24.0,67.0,38.0,12.0,6.0,5.0,30.0,18.0,6.0,64.0,32.0,6.0,21.0,33.0,11.0,54.0,2.0,25.0,66.0,7.0,32.0,46.0,13.0,88.0,19.0,25.0,59.0,21.0,68.0,57.0,10.0,13.0,46.0,41.0,19.0,79.0,48.0,56.0,49.0,17.0,1.0,27.0,42.0,1.0,1.0,13.0,8.0,17.0,0.0,38.0,46.0,0.0,32.0,15.0,7.0,25.0,18.0,0.0,63.0,20.0,4.0,1.0,2.0,2.0,24.0,537440410.0,596156.0,147503.71,156639.0
53,Low,2021-12-22,35.0,70.0,63.0,23.0,47.0,29.0,67.0,50.0,27.0,10.0,9.0,30.0,14.0,8.0,24.0,17.0,10.0,26.0,26.0,16.0,47.0,3.0,25.0,69.0,8.0,60.0,57.0,20.0,59.0,21.0,26.0,42.0,25.0,48.0,70.0,11.0,10.0,45.0,27.0,20.0,58.0,45.0,54.0,44.0,19.0,1.0,28.0,40.0,1.0,1.0,29.0,13.0,36.0,22.0,43.0,44.0,5.0,0.0,15.0,8.0,29.0,16.0,22.0,48.0,7.0,2.0,0.0,2.0,3.0,22.0,506357533.0,1825824.0,62492.86,187959.0
