,Binary_Class,Search Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
566,High,2020-05-29,38.0,70.0,52.0,44.0,58.0,9.0,56.0,25.0,4.0,8.0,17.0,34.0,1.0,9.0,38.0,17.0,11.0,10.0,36.0,26.0,30.0,27.0,20.0,74.0,32.0,18.0,44.0,17.0,77.0,29.0,20.0,44.0,21.0,66.0,53.0,10.0,9.0,48.0,37.0,5.0,62.0,60.0,58.0,34.0,1.0,3.0,35.0,74.0,2.0,13.0,2.0,1.0,16.0,0.0,48.0,6.0,2.0,33.0,10.0,19.0,1.0,14.0,32.0,65.0,16.0,9.0,0.0,19.0,2.0,45.0,0.0,0.0,0.0,112233.0
567,High,2020-04-28,58.0,79.0,44.0,68.0,87.0,18.0,60.0,33.0,7.0,25.0,19.0,57.0,0.0,13.0,30.0,23.0,24.0,14.0,35.0,37.0,27.0,52.0,26.0,80.0,57.0,21.0,44.0,26.0,60.0,30.0,19.0,46.0,19.0,71.0,63.0,27.0,35.0,39.0,34.0,6.0,63.0,65.0,66.0,54.0,2.0,5.0,44.0,40.0,5.0,28.0,1.0,1.0,0.0,0.0,57.0,18.0,32.0,32.0,11.0,12.0,1.0,34.0,34.0,70.0,30.0,14.0,0.0,10.0,2.0,38.0,0.0,0.0,0.0,80714.0
568,Low,2020-03-29,37.0,79.0,52.0,61.0,72.0,59.0,66.0,64.0,20.0,43.0,35.0,35.0,0.0,10.0,29.0,30.0,44.0,11.0,63.0,27.0,18.0,64.0,32.0,85.0,63.0,46.0,45.0,13.0,50.0,37.0,18.0,45.0,18.0,58.0,64.0,27.0,28.0,39.0,27.0,8.0,63.0,48.0,61.0,93.0,1.0,24.0,54.0,34.0,18.0,18.0,3.0,1.0,9.0,0.0,35.0,15.0,6.0,33.0,11.0,17.0,0.0,18.0,32.0,74.0,30.0,30.0,0.0,17.0,2.0,73.0,0.0,0.0,0.0,64522.0
569,Low,2020-02-27,44.0,80.0,50.0,21.0,89.0,18.0,60.0,40.0,42.0,0.0,0.0,37.0,0.0,14.0,92.0,11.0,3.0,10.0,36.0,5.0,33.0,3.0,48.0,80.0,4.0,2.0,51.0,41.0,57.0,24.0,28.0,45.0,14.0,65.0,61.0,29.0,26.0,52.0,38.0,8.0,70.0,56.0,70.0,48.0,1.0,0.0,22.0,43.0,1.0,0.0,2.0,2.0,0.0,17.0,66.0,0.0,2.0,4.0,6.0,16.0,1.0,29.0,12.0,46.0,11.0,6.0,0.0,9.0,2.0,46.0,0.0,0.0,0.0,186942.0
570,Low,2020-01-29,48.0,85.0,21.0,25.0,84.0,21.0,61.0,44.0,52.0,0.0,0.0,28.0,0.0,12.0,58.0,13.0,1.0,32.0,54.0,5.0,47.0,5.0,45.0,91.0,4.0,0.0,66.0,17.0,58.0,33.0,33.0,42.0,14.0,66.0,63.0,29.0,33.0,48.0,42.0,10.0,66.0,56.0,75.0,44.0,1.0,0.0,17.0,39.0,1.0,0.0,3.0,2.0,4.0,36.0,66.0,0.0,2.0,12.0,5.0,9.0,0.0,26.0,4.0,42.0,19.0,9.0,0.0,10.0,1.0,65.0,0.0,0.0,0.0,184425.0
571,Low,2019-12-29,36.0,64.0,35.0,29.0,51.0,22.0,56.0,45.0,42.0,0.0,0.0,13.0,0.0,9.0,76.0,28.0,0.0,6.0,55.0,2.0,51.0,3.0,31.0,89.0,2.0,0.0,58.0,13.0,66.0,26.0,35.0,50.0,17.0,59.0,60.0,7.0,4.0,53.0,47.0,9.0,49.0,45.0,62.0,37.0,1.0,0.0,17.0,43.0,1.0,0.0,3.0,1.0,5.0,22.0,27.0,0.0,3.0,19.0,4.0,11.0,1.0,1.0,5.0,49.0,11.0,7.0,0.0,7.0,0.0,22.0,,,,
572,High,2020-07-21,43.0,84.0,26.0,32.0,63.0,15.0,62.0,33.0,5.0,0.0,15.0,36.0,9.0,10.0,36.0,19.0,15.0,26.0,30.0,20.0,45.0,25.0,22.0,80.0,24.0,36.0,59.0,27.0,69.0,31.0,20.0,45.0,17.0,74.0,65.0,15.0,19.0,50.0,37.0,7.0,60.0,65.0,75.0,45.0,2.0,4.0,30.0,71.0,1.0,13.0,3.0,2.0,17.0,0.0,54.0,14.0,3.0,52.0,10.0,27.0,0.0,9.0,9.0,61.0,14.0,9.0,0.0,14.0,3.0,26.0,0.0,0.0,0.0,146312.0
573,High,2020-07-20,33.0,87.0,45.0,39.0,60.0,13.0,59.0,36.0,4.0,8.0,11.0,51.0,18.0,12.0,54.0,19.0,12.0,32.0,33.0,22.0,50.0,31.0,23.0,85.0,22.0,36.0,68.0,29.0,63.0,43.0,19.0,44.0,16.0,72.0,62.0,12.0,18.0,50.0,35.0,7.0,68.0,70.0,73.0,42.0,2.0,3.0,29.0,73.0,1.0,12.0,4.0,2.0,0.0,35.0,58.0,7.0,5.0,36.0,10.0,17.0,1.0,8.0,13.0,57.0,16.0,10.0,0.0,14.0,2.0,26.0,0.0,0.0,0.0,145643.0
574,Low,2020-07-19,34.0,77.0,50.0,45.0,59.0,12.0,61.0,34.0,4.0,0.0,4.0,22.0,9.0,8.0,38.0,19.0,11.0,0.0,41.0,10.0,70.0,23.0,19.0,86.0,12.0,38.0,78.0,23.0,67.0,30.0,20.0,46.0,17.0,74.0,62.0,12.0,16.0,51.0,32.0,7.0,72.0,73.0,73.0,44.0,2.0,2.0,29.0,79.0,2.0,6.0,4.0,1.0,29.0,0.0,32.0,5.0,4.0,46.0,11.0,14.0,1.0,6.0,15.0,61.0,12.0,7.0,0.0,14.0,3.0,29.0,0.0,0.0,0.0,139824.0
575,Low,2020-07-18,34.0,77.0,21.0,43.0,57.0,12.0,60.0,34.0,5.0,0.0,21.0,13.0,14.0,8.0,34.0,18.0,11.0,0.0,38.0,11.0,63.0,13.0,24.0,91.0,12.0,37.0,71.0,40.0,73.0,25.0,22.0,49.0,22.0,81.0,57.0,10.0,12.0,47.0,34.0,9.0,72.0,76.0,55.0,43.0,1.0,2.0,34.0,92.0,1.0,6.0,4.0,2.0,15.0,0.0,34.0,11.0,7.0,75.0,12.0,13.0,1.0,9.0,15.0,57.0,15.0,3.0,0.0,15.0,3.0,28.0,0.0,0.0,0.0,148535.0
576,Low,2020-07-17,29.0,75.0,27.0,32.0,56.0,12.0,61.0,35.0,4.0,8.0,8.0,40.0,21.0,11.0,51.0,18.0,12.0,22.0,39.0,18.0,61.0,20.0,19.0,81.0,20.0,40.0,56.0,44.0,75.0,33.0,23.0,48.0,19.0,73.0,58.0,10.0,9.0,50.0,32.0,6.0,54.0,68.0,59.0,42.0,2.0,2.0,35.0,91.0,2.0,7.0,3.0,1.0,13.0,0.0,45.0,10.0,0.0,20.0,11.0,11.0,0.0,6.0,18.0,62.0,7.0,8.0,0.0,15.0,2.0,29.0,0.0,0.0,0.0,155093.0
577,Low,2020-07-16,33.0,80.0,44.0,32.0,63.0,13.0,59.0,36.0,5.0,16.0,14.0,44.0,23.0,10.0,39.0,18.0,12.0,26.0,37.0,21.0,49.0,20.0,20.0,77.0,24.0,40.0,64.0,31.0,69.0,33.0,20.0,44.0,18.0,71.0,63.0,12.0,17.0,50.0,37.0,11.0,54.0,62.0,67.0,44.0,2.0,3.0,30.0,75.0,2.0,7.0,3.0,2.0,21.0,17.0,52.0,5.0,0.0,51.0,11.0,14.0,1.0,10.0,17.0,61.0,20.0,5.0,0.0,14.0,2.0,28.0,0.0,0.0,0.0,148395.0
578,Low,2020-07-15,26.0,79.0,38.0,30.0,58.0,13.0,58.0,35.0,5.0,8.0,29.0,49.0,10.0,12.0,58.0,18.0,15.0,15.0,41.0,21.0,42.0,22.0,23.0,80.0,24.0,45.0,74.0,25.0,66.0,30.0,19.0,43.0,18.0,72.0,63.0,14.0,22.0,48.0,37.0,10.0,48.0,63.0,73.0,40.0,2.0,3.0,28.0,71.0,1.0,8.0,6.0,3.0,4.0,17.0,55.0,11.0,2.0,20.0,11.0,16.0,1.0,9.0,8.0,53.0,17.0,8.0,0.0,15.0,3.0,29.0,0.0,0.0,0.0,149426.0
579,High,2020-07-14,31.0,83.0,31.0,29.0,55.0,12.0,58.0,34.0,5.0,8.0,4.0,41.0,5.0,15.0,36.0,18.0,16.0,20.0,35.0,22.0,30.0,22.0,22.0,81.0,24.0,46.0,65.0,33.0,66.0,34.0,18.0,44.0,16.0,75.0,62.0,14.0,17.0,51.0,35.0,10.0,48.0,60.0,71.0,42.0,2.0,3.0,28.0,73.0,1.0,8.0,5.0,2.0,37.0,17.0,52.0,15.0,3.0,39.0,12.0,17.0,1.0,11.0,13.0,55.0,22.0,4.0,0.0,14.0,2.0,30.0,0.0,0.0,0.0,147427.0
580,High,2020-07-13,41.0,88.0,38.0,28.0,59.0,16.0,58.0,36.0,4.0,8.0,11.0,41.0,7.0,13.0,43.0,18.0,14.0,36.0,35.0,20.0,51.0,25.0,21.0,75.0,22.0,50.0,62.0,22.0,66.0,30.0,19.0,43.0,15.0,74.0,62.0,15.0,18.0,50.0,34.0,7.0,59.0,61.0,66.0,40.0,2.0,3.0,30.0,77.0,1.0,7.0,4.0,2.0,12.0,17.0,53.0,11.0,4.0,55.0,13.0,21.0,1.0,7.0,0.0,49.0,22.0,5.0,0.0,12.0,2.0,27.0,0.0,0.0,0.0,147301.0
581,Low,2020-07-12,34.0,77.0,60.0,46.0,60.0,13.0,65.0,36.0,5.0,14.0,16.0,28.0,10.0,7.0,33.0,18.0,11.0,18.0,41.0,10.0,66.0,24.0,18.0,79.0,12.0,53.0,81.0,26.0,70.0,35.0,20.0,44.0,16.0,81.0,59.0,15.0,14.0,50.0,57.0,7.0,63.0,67.0,67.0,41.0,2.0,3.0,30.0,87.0,2.0,5.0,3.0,1.0,5.0,0.0,35.0,13.0,1.0,58.0,16.0,19.0,1.0,6.0,15.0,55.0,16.0,3.0,0.0,14.0,2.0,30.0,0.0,0.0,0.0,143199.0
582,Low,2020-07-11,33.0,77.0,46.0,42.0,53.0,12.0,64.0,34.0,5.0,9.0,20.0,31.0,7.0,10.0,31.0,17.0,11.0,0.0,41.0,12.0,43.0,14.0,19.0,80.0,12.0,46.0,56.0,34.0,76.0,32.0,22.0,50.0,21.0,91.0,56.0,13.0,12.0,45.0,37.0,7.0,54.0,67.0,62.0,39.0,2.0,3.0,33.0,92.0,2.0,6.0,3.0,2.0,14.0,0.0,36.0,14.0,10.0,58.0,20.0,20.0,2.0,6.0,10.0,58.0,20.0,4.0,0.0,14.0,2.0,29.0,0.0,0.0,0.0,141124.0
583,Low,2020-07-10,40.0,79.0,24.0,39.0,59.0,13.0,59.0,36.0,5.0,0.0,11.0,37.0,9.0,12.0,37.0,18.0,11.0,5.0,33.0,19.0,55.0,18.0,21.0,76.0,19.0,45.0,70.0,27.0,73.0,31.0,20.0,49.0,22.0,100.0,58.0,11.0,8.0,48.0,42.0,8.0,61.0,68.0,58.0,41.0,2.0,5.0,32.0,92.0,1.0,7.0,6.0,1.0,34.0,0.0,47.0,12.0,2.0,32.0,32.0,20.0,0.0,7.0,18.0,71.0,19.0,6.0,0.0,14.0,3.0,31.0,0.0,0.0,0.0,146182.0
584,Low,2020-07-09,33.0,80.0,49.0,34.0,60.0,14.0,55.0,36.0,5.0,0.0,14.0,44.0,8.0,15.0,36.0,17.0,13.0,15.0,33.0,22.0,36.0,19.0,21.0,80.0,23.0,47.0,66.0,57.0,68.0,32.0,21.0,42.0,19.0,78.0,59.0,16.0,18.0,53.0,33.0,6.0,57.0,65.0,72.0,40.0,2.0,4.0,30.0,83.0,2.0,7.0,3.0,2.0,21.0,0.0,54.0,17.0,0.0,12.0,55.0,20.0,1.0,7.0,17.0,64.0,14.0,10.0,0.0,17.0,3.0,32.0,0.0,0.0,0.0,147323.0
585,Low,2020-07-08,37.0,88.0,38.0,37.0,59.0,13.0,64.0,38.0,6.0,0.0,25.0,38.0,8.0,19.0,35.0,19.0,15.0,31.0,33.0,26.0,35.0,22.0,21.0,78.0,25.0,50.0,68.0,100.0,66.0,32.0,21.0,42.0,18.0,72.0,61.0,16.0,16.0,50.0,46.0,7.0,59.0,67.0,72.0,42.0,2.0,4.0,29.0,83.0,2.0,8.0,3.0,2.0,25.0,0.0,52.0,14.0,4.0,24.0,38.0,24.0,0.0,6.0,4.0,61.0,26.0,6.0,0.0,17.0,2.0,35.0,0.0,0.0,0.0,139012.0
586,Low,2020-07-07,39.0,83.0,26.0,36.0,62.0,14.0,66.0,38.0,6.0,28.0,18.0,54.0,8.0,11.0,46.0,16.0,14.0,5.0,32.0,24.0,33.0,20.0,23.0,73.0,23.0,54.0,64.0,25.0,67.0,27.0,23.0,44.0,17.0,72.0,62.0,14.0,23.0,51.0,47.0,7.0,60.0,66.0,69.0,42.0,2.0,6.0,31.0,73.0,1.0,8.0,3.0,2.0,8.0,17.0,52.0,14.0,2.0,27.0,26.0,34.0,1.0,6.0,0.0,60.0,14.0,8.0,0.0,16.0,2.0,38.0,0.0,0.0,0.0,136786.0
587,Low,2020-07-06,42.0,84.0,48.0,35.0,59.0,11.0,64.0,34.0,4.0,8.0,11.0,40.0,5.0,10.0,50.0,16.0,13.0,15.0,36.0,18.0,37.0,29.0,22.0,79.0,20.0,54.0,65.0,20.0,69.0,35.0,23.0,43.0,18.0,70.0,62.0,14.0,13.0,51.0,55.0,6.0,56.0,77.0,72.0,42.0,2.0,8.0,30.0,76.0,1.0,7.0,4.0,1.0,16.0,17.0,51.0,9.0,5.0,23.0,11.0,24.0,0.0,7.0,8.0,66.0,10.0,9.0,0.0,15.0,2.0,43.0,0.0,0.0,0.0,127813.0
588,Low,2020-07-05,34.0,87.0,49.0,42.0,57.0,10.0,66.0,34.0,4.0,5.0,22.0,33.0,3.0,12.0,20.0,13.0,12.0,6.0,48.0,9.0,46.0,22.0,20.0,94.0,11.0,53.0,66.0,29.0,66.0,29.0,26.0,44.0,17.0,73.0,58.0,16.0,14.0,51.0,52.0,7.0,46.0,100.0,68.0,40.0,2.0,6.0,28.0,82.0,2.0,5.0,3.0,1.0,20.0,21.0,33.0,12.0,2.0,86.0,11.0,20.0,4.0,3.0,5.0,68.0,16.0,5.0,0.0,18.0,3.0,30.0,0.0,0.0,0.0,118048.0
589,Low,2020-07-04,28.0,81.0,42.0,47.0,55.0,12.0,61.0,36.0,4.0,5.0,9.0,26.0,6.0,9.0,33.0,14.0,13.0,6.0,43.0,10.0,40.0,11.0,20.0,96.0,9.0,45.0,58.0,25.0,74.0,42.0,24.0,50.0,22.0,75.0,58.0,15.0,19.0,49.0,36.0,6.0,55.0,72.0,60.0,39.0,2.0,7.0,30.0,100.0,1.0,5.0,2.0,1.0,40.0,21.0,27.0,12.0,1.0,71.0,12.0,21.0,4.0,3.0,15.0,60.0,10.0,2.0,0.0,23.0,2.0,28.0,0.0,0.0,0.0,116896.0
590,Low,2020-07-03,31.0,76.0,31.0,38.0,50.0,14.0,59.0,33.0,5.0,17.0,0.0,21.0,9.0,10.0,27.0,16.0,15.0,5.0,40.0,11.0,43.0,15.0,21.0,83.0,11.0,46.0,57.0,25.0,75.0,32.0,24.0,48.0,21.0,72.0,52.0,17.0,16.0,52.0,33.0,5.0,60.0,69.0,58.0,39.0,2.0,14.0,34.0,97.0,1.0,6.0,1.0,2.0,27.0,18.0,34.0,14.0,2.0,59.0,12.0,23.0,2.0,7.0,18.0,65.0,22.0,5.0,0.0,14.0,2.0,28.0,0.0,0.0,0.0,141940.0
591,Low,2020-11-27,32.0,60.0,78.0,26.0,48.0,15.0,51.0,28.0,8.0,10.0,13.0,30.0,5.0,10.0,30.0,31.0,8.0,6.0,47.0,8.0,47.0,6.0,21.0,65.0,11.0,45.0,45.0,10.0,92.0,33.0,20.0,50.0,22.0,80.0,74.0,8.0,14.0,37.0,27.0,16.0,67.0,45.0,53.0,39.0,2.0,1.0,23.0,38.0,2.0,3.0,3.0,7.0,40.0,0.0,31.0,30.0,5.0,56.0,11.0,17.0,1.0,14.0,20.0,38.0,21.0,4.0,0.0,15.0,4.0,20.0,0.0,0.0,83544.57,130016.0
592,Low,2020-10-28,48.0,81.0,62.0,18.0,70.0,11.0,58.0,27.0,8.0,0.0,8.0,56.0,4.0,27.0,63.0,20.0,8.0,18.0,33.0,16.0,28.0,9.0,23.0,81.0,26.0,36.0,85.0,33.0,61.0,31.0,22.0,44.0,16.0,70.0,68.0,24.0,39.0,50.0,34.0,16.0,56.0,61.0,71.0,46.0,1.0,1.0,24.0,39.0,1.0,6.0,4.0,3.0,9.0,19.0,61.0,12.0,45.0,26.0,10.0,15.0,1.0,32.0,5.0,51.0,14.0,9.0,1.0,23.0,16.0,24.0,0.0,0.0,39581.0,142076.0
593,Low,2020-09-27,38.0,76.0,75.0,33.0,58.0,10.0,53.0,25.0,7.0,10.0,4.0,22.0,6.0,33.0,47.0,20.0,6.0,6.0,38.0,7.0,47.0,13.0,22.0,77.0,13.0,28.0,64.0,22.0,68.0,31.0,22.0,44.0,17.0,79.0,63.0,19.0,39.0,46.0,40.0,10.0,76.0,57.0,64.0,41.0,1.0,2.0,23.0,49.0,1.0,6.0,3.0,3.0,25.0,0.0,40.0,7.0,3.0,19.0,12.0,17.0,0.0,10.0,0.0,67.0,12.0,6.0,0.0,16.0,7.0,25.0,0.0,0.0,25127.57,130980.0
594,Low,2020-08-28,38.0,78.0,40.0,25.0,64.0,6.0,50.0,24.0,3.0,4.0,18.0,35.0,6.0,10.0,39.0,16.0,8.0,36.0,33.0,14.0,64.0,13.0,23.0,65.0,44.0,24.0,50.0,30.0,73.0,34.0,24.0,51.0,22.0,70.0,58.0,8.0,17.0,46.0,32.0,8.0,65.0,58.0,54.0,32.0,2.0,2.0,30.0,69.0,1.0,6.0,3.0,1.0,8.0,0.0,49.0,9.0,1.0,15.0,12.0,37.0,1.0,8.0,4.0,63.0,18.0,5.0,0.0,28.0,6.0,26.0,0.0,0.0,32538.14,155275.0
595,Low,2020-07-28,43.0,86.0,30.0,31.0,62.0,12.0,61.0,31.0,4.0,0.0,7.0,36.0,9.0,10.0,52.0,18.0,16.0,26.0,32.0,22.0,39.0,24.0,18.0,81.0,24.0,39.0,69.0,26.0,68.0,26.0,20.0,44.0,15.0,67.0,63.0,13.0,12.0,48.0,39.0,7.0,51.0,62.0,72.0,37.0,2.0,87.0,30.0,75.0,1.0,23.0,7.0,3.0,13.0,0.0,52.0,10.0,3.0,40.0,10.0,19.0,4.0,7.0,0.0,62.0,17.0,4.0,0.0,13.0,3.0,39.0,0.0,0.0,0.0,140805.0
596,Low,2020-06-27,31.0,76.0,33.0,46.0,54.0,13.0,69.0,34.0,5.0,9.0,24.0,31.0,5.0,38.0,37.0,16.0,11.0,23.0,41.0,9.0,39.0,12.0,19.0,80.0,12.0,43.0,59.0,42.0,74.0,30.0,22.0,49.0,22.0,80.0,57.0,11.0,11.0,48.0,72.0,6.0,62.0,64.0,62.0,36.0,2.0,2.0,36.0,86.0,1.0,6.0,2.0,2.0,19.0,19.0,32.0,6.0,4.0,58.0,12.0,14.0,3.0,9.0,10.0,67.0,21.0,4.0,0.0,16.0,3.0,28.0,0.0,0.0,0.0,113899.0
597,Low,2020-05-28,40.0,78.0,60.0,57.0,60.0,10.0,60.0,27.0,4.0,4.0,3.0,35.0,1.0,9.0,44.0,19.0,12.0,4.0,34.0,27.0,37.0,28.0,21.0,82.0,36.0,18.0,40.0,20.0,66.0,33.0,19.0,43.0,17.0,70.0,59.0,14.0,19.0,48.0,35.0,5.0,69.0,62.0,65.0,37.0,2.0,4.0,32.0,62.0,2.0,14.0,2.0,1.0,4.0,0.0,54.0,5.0,2.0,21.0,10.0,22.0,1.0,15.0,16.0,53.0,25.0,14.0,0.0,13.0,2.0,35.0,0.0,0.0,0.0,107189.0
598,Low,2020-04-27,40.0,79.0,60.0,76.0,89.0,18.0,68.0,33.0,7.0,22.0,23.0,69.0,0.0,12.0,49.0,24.0,25.0,18.0,35.0,33.0,26.0,55.0,26.0,85.0,54.0,25.0,46.0,16.0,64.0,32.0,21.0,45.0,22.0,74.0,63.0,27.0,37.0,41.0,37.0,6.0,77.0,71.0,63.0,53.0,2.0,5.0,49.0,40.0,5.0,29.0,4.0,1.0,15.0,0.0,59.0,6.0,10.0,21.0,11.0,13.0,0.0,44.0,39.0,68.0,37.0,17.0,0.0,12.0,2.0,38.0,0.0,0.0,0.0,74696.0
599,Low,2020-03-28,35.0,73.0,48.0,62.0,63.0,71.0,57.0,65.0,21.0,63.0,45.0,15.0,0.0,12.0,44.0,30.0,47.0,5.0,63.0,29.0,22.0,65.0,27.0,87.0,58.0,44.0,57.0,19.0,62.0,25.0,20.0,53.0,23.0,58.0,63.0,16.0,11.0,36.0,28.0,8.0,54.0,51.0,57.0,89.0,1.0,17.0,59.0,38.0,18.0,25.0,1.0,1.0,17.0,0.0,29.0,15.0,1.0,37.0,10.0,12.0,2.0,9.0,40.0,79.0,37.0,44.0,1.0,16.0,3.0,72.0,0.0,0.0,0.0,69508.0
600,Low,2020-02-26,43.0,84.0,49.0,21.0,88.0,17.0,64.0,37.0,41.0,4.0,0.0,26.0,0.0,14.0,97.0,11.0,3.0,15.0,33.0,6.0,41.0,5.0,45.0,82.0,4.0,2.0,60.0,32.0,53.0,28.0,27.0,45.0,14.0,66.0,60.0,30.0,41.0,48.0,44.0,8.0,69.0,54.0,78.0,51.0,1.0,0.0,21.0,41.0,1.0,0.0,2.0,1.0,4.0,0.0,63.0,2.0,1.0,11.0,6.0,17.0,1.0,36.0,12.0,54.0,5.0,8.0,0.0,9.0,2.0,44.0,0.0,0.0,0.0,173708.0
601,Low,2020-01-28,44.0,86.0,41.0,22.0,86.0,17.0,63.0,44.0,48.0,4.0,15.0,19.0,0.0,12.0,61.0,12.0,1.0,5.0,53.0,5.0,18.0,5.0,45.0,90.0,4.0,0.0,56.0,14.0,56.0,28.0,44.0,43.0,15.0,65.0,63.0,28.0,36.0,49.0,53.0,9.0,55.0,58.0,75.0,48.0,1.0,0.0,17.0,38.0,1.0,0.0,3.0,2.0,0.0,18.0,63.0,0.0,2.0,16.0,5.0,10.0,0.0,27.0,4.0,42.0,17.0,10.0,0.0,11.0,1.0,65.0,0.0,0.0,0.0,178310.0
602,Low,2019-12-28,42.0,65.0,18.0,27.0,50.0,20.0,60.0,44.0,45.0,0.0,0.0,3.0,0.0,10.0,57.0,30.0,0.0,6.0,35.0,2.0,51.0,1.0,38.0,87.0,2.0,0.0,59.0,15.0,94.0,23.0,61.0,54.0,18.0,63.0,54.0,5.0,4.0,48.0,46.0,9.0,58.0,45.0,52.0,34.0,1.0,0.0,19.0,42.0,1.0,0.0,5.0,1.0,0.0,0.0,24.0,0.0,2.0,15.0,5.0,13.0,1.0,1.0,11.0,55.0,12.0,8.0,0.0,7.0,1.0,23.0,,,,
603,Low,2020-06-20,36.0,73.0,55.0,44.0,54.0,12.0,56.0,30.0,5.0,9.0,4.0,25.0,2.0,8.0,36.0,16.0,7.0,12.0,40.0,9.0,51.0,10.0,19.0,83.0,12.0,23.0,58.0,45.0,81.0,35.0,22.0,50.0,23.0,71.0,57.0,10.0,22.0,46.0,37.0,5.0,55.0,62.0,61.0,32.0,2.0,2.0,33.0,84.0,2.0,5.0,4.0,1.0,14.0,0.0,31.0,8.0,5.0,53.0,11.0,11.0,0.0,5.0,5.0,70.0,16.0,4.0,0.0,26.0,3.0,34.0,0.0,0.0,0.0,118555.0
604,Low,2020-06-19,39.0,77.0,40.0,39.0,59.0,11.0,58.0,29.0,4.0,8.0,7.0,33.0,5.0,9.0,50.0,14.0,8.0,21.0,33.0,17.0,43.0,21.0,22.0,88.0,18.0,23.0,51.0,43.0,77.0,30.0,21.0,46.0,21.0,72.0,59.0,10.0,14.0,49.0,33.0,5.0,58.0,63.0,57.0,34.0,1.0,2.0,34.0,84.0,1.0,6.0,3.0,1.0,17.0,0.0,48.0,12.0,4.0,27.0,10.0,12.0,1.0,10.0,0.0,60.0,14.0,5.0,0.0,17.0,2.0,33.0,0.0,0.0,0.0,128228.0
605,Low,2020-06-18,33.0,83.0,39.0,36.0,59.0,11.0,64.0,31.0,6.0,4.0,7.0,35.0,2.0,10.0,41.0,15.0,8.0,20.0,33.0,25.0,27.0,22.0,24.0,81.0,24.0,25.0,55.0,31.0,72.0,32.0,20.0,44.0,20.0,68.0,59.0,14.0,18.0,51.0,35.0,5.0,60.0,58.0,66.0,36.0,2.0,2.0,31.0,74.0,2.0,7.0,2.0,2.0,16.0,0.0,56.0,13.0,3.0,27.0,10.0,14.0,2.0,5.0,4.0,62.0,20.0,6.0,0.0,17.0,2.0,38.0,0.0,0.0,0.0,128959.0
606,Low,2020-06-17,49.0,80.0,28.0,45.0,58.0,10.0,60.0,29.0,4.0,4.0,7.0,40.0,1.0,8.0,49.0,15.0,8.0,15.0,37.0,19.0,39.0,21.0,23.0,81.0,26.0,28.0,75.0,43.0,72.0,29.0,20.0,44.0,20.0,70.0,69.0,13.0,20.0,51.0,35.0,5.0,50.0,62.0,74.0,37.0,1.0,3.0,32.0,71.0,1.0,8.0,4.0,2.0,8.0,0.0,53.0,6.0,2.0,30.0,10.0,11.0,0.0,10.0,12.0,63.0,17.0,8.0,0.0,14.0,2.0,48.0,0.0,0.0,0.0,128775.0
607,Low,2020-06-16,40.0,81.0,54.0,38.0,58.0,9.0,67.0,27.0,4.0,15.0,3.0,57.0,0.0,9.0,40.0,17.0,7.0,24.0,41.0,24.0,34.0,27.0,17.0,81.0,25.0,28.0,61.0,28.0,72.0,38.0,20.0,44.0,19.0,69.0,62.0,14.0,19.0,52.0,35.0,5.0,54.0,62.0,70.0,38.0,2.0,3.0,32.0,71.0,1.0,8.0,3.0,2.0,23.0,0.0,51.0,3.0,2.0,18.0,9.0,10.0,4.0,9.0,12.0,59.0,23.0,4.0,0.0,15.0,2.0,41.0,0.0,0.0,0.0,122942.0
608,Low,2020-06-15,43.0,82.0,30.0,36.0,58.0,10.0,67.0,28.0,4.0,8.0,10.0,24.0,0.0,12.0,30.0,16.0,7.0,15.0,32.0,35.0,43.0,29.0,19.0,73.0,25.0,26.0,63.0,33.0,68.0,32.0,19.0,42.0,19.0,67.0,61.0,15.0,18.0,51.0,35.0,5.0,60.0,60.0,68.0,38.0,2.0,6.0,36.0,71.0,1.0,7.0,3.0,1.0,8.0,0.0,53.0,3.0,1.0,26.0,9.0,11.0,1.0,7.0,12.0,51.0,22.0,4.0,0.0,18.0,2.0,25.0,0.0,0.0,0.0,118914.0
609,Low,2020-06-14,44.0,75.0,49.0,45.0,61.0,9.0,67.0,27.0,5.0,4.0,24.0,28.0,0.0,8.0,35.0,15.0,7.0,6.0,42.0,9.0,54.0,24.0,21.0,79.0,13.0,25.0,50.0,26.0,67.0,30.0,20.0,45.0,18.0,69.0,61.0,16.0,18.0,49.0,34.0,5.0,69.0,68.0,66.0,40.0,1.0,5.0,31.0,72.0,2.0,5.0,1.0,1.0,14.0,0.0,34.0,3.0,2.0,26.0,10.0,11.0,2.0,6.0,9.0,56.0,17.0,3.0,0.0,21.0,2.0,25.0,0.0,0.0,0.0,103124.0
