,Multi_Class,Search Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
49,1699-5000,2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,
50,1699-5000,2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,
51,1699-5000,2022-02-19,,,,,,,,,,,,,,,,,,,,,,,,
52,0-549,2022-01-22,,,,,,,,,,,,,,,,,,,,,,,,
53,0-549,2021-12-22,264.06,251.36,12.7,13957300.0,167.06,167.93,-0.87,4178200.0,273.45,259.7,13.75,3092400.0,"35,491.71","35,753.89",-262.18,"281,930,000",59.25,59.55,-0.3,62594900.0,506357533.0,1825824.0,62492.86,187959.0
54,1699-5000,2021-12-21,275.5,268.14,7.36,12537400.0,168.06,167.21,0.85,7954200.0,275.4,271.46,3.94,2768800.0,"35,069.50","35,492.70",-423.2,"346,080,000",60.01,58.95,1.06,63877900.0,504531709.0,1931184.0,62332.86,183361.0
55,1699-5000,2021-12-20,321.3,276.38,44.92,16985300.0,167.81,167.75,0.06,7954500.0,299.41,275.23,24.18,2669500.0,"35,222.12","34,932.16",289.96,"386,590,000",60.6,61.02,-0.42,55712200.0,502600525.0,1805638.0,62215.71,183377.0
56,1699-5000,2021-12-19,,,,,,,,,,,,,,,,,,,,,,,,
57,1699-5000,2021-12-18,,,,,,,,,,,,,,,,,,,,,,,,
58,1699-5000,2021-12-17,275.57,294.8,-19.23,10609300.0,169.64,168.23,1.41,16726200.0,279.6,287.28,-7.68,2496200.0,"35,800.11","35,365.44",434.67,"750,480,000",59.93,59.48,0.45,104192100.0,499060357.0,1895951.0,61844.0,192674.0
