,Unnamed: 0,Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake,toilet paper,stimulus,vaccines near me,vaccine side effects,how to get my taste back,anti-depressant,mental health,can dogs get covid,doritos locos tacos,best hikes near me,tiktok,jeff bezos net worth,what is ivermectin,what is mrna,bill gates population control,ubereats,instacart jobs,gig economy,stimmy,trump,biden,china,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
41,41,2020-01-11,44,69,27,28,55,19,70,37,34,0,4,6,0,10,54,20,0,0,35,2,41,2,35,94,2,0.0,48.0,14.0,77.0,25.0,36.0,50.0,18.0,64.0,55.0,9.0,7.0,59.0,38.0,8.0,63.0,48.0,56.0,37.0,1.0,0.0,20.0,40.0,1,0,4,1,0,0,32,0,1,19,5,8,1,4,0,53,17,10,0,7,0,23,,,,
42,42,2020-01-12,38,65,37,31,59,16,66,36,35,0,4,9,0,10,39,25,0,18,53,2,39,3,32,80,3,0.0,57.0,11.0,65.0,26.0,30.0,46.0,16.0,65.0,63.0,19.0,26.0,54.0,41.0,9.0,69.0,51.0,74.0,42.0,1.0,0.0,16.0,43.0,1,0,2,1,0,0,31,0,1,5,6,7,1,3,0,47,12,11,0,7,0,22,,,,
43,43,2020-01-13,39,84,27,21,79,15,61,37,36,8,7,26,0,13,73,20,0,5,36,5,37,5,44,79,4,0.0,65.0,10.0,65.0,33.0,30.0,45.0,16.0,65.0,62.0,22.0,30.0,47.0,45.0,8.0,63.0,53.0,74.0,45.0,1.0,0.0,16.0,41.0,1,0,2,1,0,17,62,0,3,11,5,12,0,18,4,41,11,13,0,7,0,22,,,,
44,44,2020-01-14,38,79,36,20,77,16,70,36,40,4,0,29,0,16,69,16,0,14,31,5,53,5,41,86,4,0.0,60.0,16.0,62.0,34.0,32.0,48.0,16.0,65.0,65.0,24.0,31.0,50.0,48.0,7.0,59.0,56.0,75.0,46.0,1.0,0.0,17.0,41.0,1,0,3,1,0,15,59,0,4,17,4,13,0,28,0,37,16,13,0,10,0,23,,,,
45,45,2020-01-15,35,84,31,18,79,16,62,39,41,8,0,22,0,17,79,15,1,15,33,4,47,5,46,92,4,0.0,60.0,12.0,56.0,37.0,29.0,43.0,14.0,65.0,65.0,23.0,35.0,48.0,45.0,7.0,62.0,52.0,75.0,47.0,1.0,0.0,16.0,41.0,1,0,3,2,0,0,62,0,3,8,5,10,1,28,0,47,14,8,0,9,1,28,,,,
46,46,2020-01-16,44,84,44,26,77,15,61,36,38,0,0,22,0,12,76,15,0,5,33,5,32,4,42,90,4,0.0,60.0,21.0,59.0,28.0,29.0,44.0,13.0,63.0,63.0,22.0,25.0,50.0,45.0,7.0,66.0,51.0,68.0,45.0,1.0,0.0,17.0,43.0,1,0,3,2,0,18,61,0,2,0,4,8,0,31,0,41,14,15,0,10,1,28,,,,
47,47,2020-01-17,44,76,21,27,67,13,59,35,33,0,0,23,0,12,43,14,0,5,42,4,34,3,41,91,4,0.0,52.0,22.0,69.0,24.0,27.0,48.0,17.0,64.0,64.0,7.0,7.0,50.0,37.0,8.0,83.0,50.0,61.0,39.0,1.0,0.0,19.0,44.0,1,0,2,1,4,18,49,0,2,4,5,12,0,28,0,51,16,9,0,9,0,26,,,,
48,48,2020-01-18,45,72,14,28,57,16,71,37,32,5,13,27,0,12,40,18,0,0,62,2,44,2,38,90,3,0.0,50.0,20.0,71.0,29.0,27.0,52.0,17.0,64.0,58.0,9.0,5.0,64.0,41.0,10.0,68.0,46.0,55.0,39.0,1.0,0.0,20.0,42.0,1,0,5,1,0,0,29,0,2,33,6,8,1,3,0,67,12,4,0,8,1,27,,,,
49,49,2020-01-19,36,71,47,27,56,18,66,36,32,5,4,47,0,9,46,18,0,0,60,3,40,3,31,88,3,0.0,70.0,17.0,72.0,28.0,25.0,50.0,16.0,62.0,58.0,12.0,12.0,56.0,40.0,7.0,67.0,52.0,66.0,40.0,1.0,0.0,17.0,43.0,1,0,2,1,5,0,33,0,6,36,6,12,1,4,5,46,18,5,0,7,1,25,,,,
50,50,2020-01-20,44,74,52,28,63,17,69,36,36,9,0,29,0,9,57,16,0,0,47,4,44,4,31,87,3,0.0,58.0,17.0,63.0,27.0,26.0,45.0,14.0,68.0,62.0,24.0,40.0,51.0,47.0,7.0,51.0,54.0,79.0,43.0,0.0,0.0,17.0,40.0,1,0,3,1,0,0,47,0,5,21,7,11,0,5,0,53,12,5,0,7,1,28,,,,
