Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,AZN_Open,AZN_Close,AZN_Difference,AZN_Volume, NVAX_Open , NVAX_Close ,NVAX_Difference,NVAX_Volume
2/6/2020,20.27,19.88,0.39,1929700,154.25,153.53,0.72,6201200,32,32.93,-0.93,387400,"29,388.58","29,379.77",8.81,"263,700,000",36.47,36.3,0.17,21047748,49.69,50.03,-0.34,2531000,6.89,6.84,0.05,1457600
2/7/2020,19.79,23.24,-3.45,10144200,153.34,151.89,1.45,5700300,31.88,30.88,1,166700,"29,286.92","29,102.51",184.41,"252,860,000",36.39,36.1,0.29,21903596,49.89,49.4,0.49,1995500,6.76,6.31,0.45,2607200
2/10/2020,23.5,23.65,-0.15,9356800,151.68,151.86,-0.18,4835600,30.99,32.12,-1.13,121700,"28,995.66","29,276.82",-281.16,"250,510,000",36.25,35.87,0.38,19998385,49.49,49.91,-0.42,1983200,6.43,7.02,-0.59,6183600
2/11/2020,22.09,21.35,0.74,6188300,152.29,151.99,0.3,3715300,31.48,30.71,0.77,175300,"29,390.71","29,276.34",114.37,"279,540,000",35.95,36.14,-0.19,16027335,49.94,49.78,0.16,1848800,6.93,7.21,-0.28,2429000
2/12/2020,19.64,19.01,0.63,19231800,151.87,151.09,0.78,5166800,30,29.56,0.44,157700,"29,406.75","29,551.42",-144.67,"309,530,000",36.14,35.81,0.33,22944315,49.75,49.58,0.17,2483000,7.2,7.31,-0.11,2715000
2/13/2020,19.36,19.05,0.32,6837000,150.16,150.09,0.07,5480200,29.51,30.64,-1.13,107100,"29,436.03","29,423.31",12.72,"291,150,000",35.65,35.04,0.62,22099745,48.81,49.33,-0.52,2807500,7.6,7.79,-0.19,4408600
2/14/2020,19.27,19,0.27,5384500,150.56,150.13,0.43,5716300,31,30.75,0.25,128700,"29,440.47","29,398.08",42.39,"231,000,000",35.08,34.64,0.44,21006747,48.19,47.85,0.34,6665400,8.05,7.68,0.37,2732800
2/18/2020,19.14,18.91,0.23,4121900,150.47,149.14,1.33,7230700,30.49,31.54,-1.05,66200,"29,282.78","29,232.19",50.59,"256,600,000",34.68,34.46,0.22,17988513,48.96,49.11,-0.15,3927900,7.69,7.99,-0.3,2577100
2/19/2020,19.09,18.92,0.17,3148000,149.21,148.94,0.27,6115200,31.5,32.25,-0.75,253800,"29,312.70","29,348.03",-35.33,"240,640,000",34.54,34.37,0.16,17750941,49.36,49.31,0.05,3269000,7.86,7.95,-0.09,2132000
2/20/2020,18.86,18.54,0.32,4562200,148.61,148.37,0.24,7464700,31.72,32.38,-0.66,152200,"29,296.25","29,219.98",76.27,"287,780,000",33.88,34.01,-0.13,42953135,48.88,48.94,-0.06,3000200,7.88,7.94,-0.06,2355000
2/21/2020,18.47,18.23,0.24,3651100,148.09,149.93,-1.84,7776800,31.8,32.35,-0.55,158700,"29,146.53","28,992.41",154.12,"311,210,000",33.93,33.89,0.04,32425256,49.88,50.17,-0.29,4105800,7.87,7.72,0.15,1804300
2/24/2020,19.23,18.59,0.64,7605400,146.5,145.91,0.59,10588900,30,30.6,-0.6,148400,"28,402.93","27,960.80",442.13,"452,580,000",33.24,32.89,0.35,37969296,48.25,47.59,0.66,4537600,8.31,8.16,0.15,5044200
2/25/2020,22.15,23.76,-1.61,65001900,145.99,144.65,1.34,10529000,30,33.44,-3.44,201500,"28,037.65","27,081.36",956.29,"513,270,000",32.9,32.19,0.71,41878898,48.07,47.08,0.99,4347100,8.21,7.95,0.26,2947800
2/26/2020,29.05,29.16,-0.11,76444500,145.35,143.68,1.67,10093800,31.85,33.75,-1.9,213300,"27,159.46","26,957.59",201.87,"472,450,000",32.49,32.94,-0.46,47920005,47.52,47.57,-0.05,3900300,8.65,9.22,-0.57,24614800
2/27/2020,35.88,26.16,9.72,68256300,142.56,139.12,3.44,12566700,31.45,33.88,-2.43,112400,"26,526.00","25,766.64",759.36,"664,980,000",32.68,32.35,0.32,55444827,46.39,45.07,1.32,4055800,11.1,11.8,-0.7,27547100
2/28/2020,23.38,25.93,-2.55,24253700,135.36,134.48,0.88,19820300,33.4,35.1,-1.7,234400,"25,270.83","25,409.36",-138.53,"915,990,000",31.77,31.71,0.07,66057447,43.69,43.8,-0.11,5656500,14.94,16,-1.06,36295500
3/2/2020,27,29.88,-2.88,33084000,134.78,140.02,-5.24,11508200,35.01,36.6,-1.59,185100,"25,590.51","26,703.32","-1,112.81","637,200,000",32.17,33.09,-0.92,42034469,44.45,45.87,-1.42,6134400,13.96,12.02,1.94,14261700
3/3/2020,27.8,27.91,-0.11,17599100,140,135.59,4.41,13662500,36.65,38.48,-1.83,297900,"26,762.47","25,917.41",845.06,"647,080,000",33.38,32.54,0.83,46174475,46.48,45.52,0.96,4247800,10.56,10.78,-0.22,9957300
3/4/2020,27.99,27.49,0.5,11817700,137.68,143.48,-5.8,10560500,39,39.19,-0.19,127100,"26,383.68","27,090.86",-707.18,"457,590,000",33.3,34.54,-1.23,38712155,47.28,48.6,-1.32,3337400,10.12,11.32,-1.2,10977400
3/5/2020,27.49,28.01,-0.52,14670000,140.8,142.01,-1.21,11339200,37.71,37.12,0.59,77000,"26,671.92","26,121.28",550.64,"477,370,000",33.82,33.64,0.18,35096303,47.58,48.38,-0.8,5756900,11.85,12.87,-1.02,14057100
3/6/2020,27.98,29.61,-1.63,21097500,138.48,142.03,-3.55,12239100,37.62,38.09,-0.47,279200,"25,457.21","25,864.78",-407.57,"599,780,000",32.92,33.23,-0.3,40931036,47.25,47.52,-0.27,3439100,13.83,12.48,1.35,13250800
3/9/2020,30,24.29,5.71,14124100,136.33,136.44,-0.11,13848600,35.15,33.48,1.67,190200,"24,992.36","23,851.02","1,141.34","750,430,000",31.75,32.03,-0.28,43183856,45.54,45.23,0.31,5031200,12.51,10.02,2.49,8328800
3/10/2020,25.71,22.34,3.37,13019500,139.97,141.64,-1.67,12698100,35.08,33.96,1.12,327500,"24,453.00","25,018.16",-565.16,"654,860,000",32.8,32.82,-0.02,40548329,45.85,46.9,-1.05,9144800,12.47,10.65,1.82,12365400
3/11/2020,22.54,23.61,-1.07,14809600,138.09,131.8,6.29,17763400,33.4,32.17,1.23,119000,"24,604.63","23,553.22","1,051.41","663,960,000",32.03,30.52,1.51,65350213,45.6,44.58,1.02,5829400,10.51,10.51,0,9052100
3/12/2020,22.9,22.3,0.6,11305300,127.31,125.41,1.9,21539200,28.99,28.55,0.44,184100,"22,184.71","21,200.62",984.09,"908,260,000",28.92,28.48,0.44,62731445,41.3,40.76,0.54,5412900,9.51,9.29,0.22,5488400
3/13/2020,23,21.3,1.7,11853100,129.32,134.29,-4.97,20084200,30,30.93,-0.93,197600,"21,973.82","23,185.62","-1,211.80","843,080,000",29.67,31.03,-1.37,60553038,41.57,42.28,-0.71,11898000,9.5,8.41,1.09,6115400
3/16/2020,23.76,26.49,-2.73,39850800,123.57,127.13,-3.56,18877900,49.36,40,9.36,1935900,"20,917.53","20,188.52",729.01,"770,130,000",28.41,28.63,-0.23,50995050,36.81,37.79,-0.98,7346800,7.77,6.91,0.86,4779400
3/17/2020,29.36,28.18,1.18,44484100,128.55,136.59,-8.04,18911800,65,66.6,-1.6,2939800,"20,487.05","21,237.38",-750.33,"793,060,000",30.02,30.51,-0.49,54220606,39.25,40.93,-1.68,5411700,8,9.5,-1.5,11624000
3/18/2020,27.13,31.58,-4.45,28702300,131.02,134.96,-3.94,17521100,90.39,92,-1.61,3027000,"20,188.69","19,898.92",289.77,"871,360,000",29.19,30.7,-1.51,43884976,38.23,39.36,-1.13,4909200,8.85,10.65,-1.8,11034100
3/19/2020,32.78,28.27,4.51,36952800,134.99,127.05,7.94,18482300,83.2,59.3,23.9,1598500,"19,830.01","20,087.19",-257.18,"780,300,000",30.57,28.86,1.71,59820929,38.91,40.13,-1.22,9234700,10.98,11.58,-0.6,11901400
3/20/2020,29.25,28.2,1.05,16522400,126.83,119.89,6.94,19785100,54.95,46.5,8.45,1174000,"20,253.15","19,173.98","1,079.17","872,290,000",28.73,27.52,1.2,52488989,41.2,39.42,1.78,10050700,11.8,10.35,1.45,5726000
3/23/2020,28.71,26.57,2.14,11080800,117,111.14,5.86,20815200,59,51.31,7.69,994100,"19,028.36","18,591.93",436.43,"787,970,000",27.29,27.03,0.26,52853041,39.36,38.78,0.58,5674000,10.71,10.76,-0.05,3064600
3/24/2020,27.09,25.82,1.27,12550500,118.76,119.18,-0.42,17604800,58.9,53.64,5.26,579700,"19,722.19","20,704.91",-982.72,"799,340,000",28,28.18,-0.18,44466784,40.35,40.89,-0.54,6129400,14.35,12.77,1.58,18556500
3/25/2020,25,27.13,-2.13,9651500,118.91,119.4,-0.49,13986100,53.63,47.2,6.43,333200,"21,050.34","21,200.55",-150.21,"796,320,000",27.99,28.23,-0.24,44601275,40.15,40.38,-0.23,6575400,13.01,11.75,1.26,6975400
3/26/2020,27.56,27.94,-0.38,5570800,120.57,126.57,-6,15066800,52,55,-3,471600,"21,468.38","22,552.17","-1,083.79","705,180,000",28.36,30.12,-1.76,43269967,40.4,42.36,-1.96,6742700,12.1,12.74,-0.64,5283600
3/27/2020,28.37,30.05,-1.68,12408300,121.65,123.16,-1.51,12133200,54.83,55,-0.17,246200,"21,898.47","21,636.78",261.69,"588,830,000",29.22,29.32,-0.09,38290344,40.78,42.47,-1.69,6783100,12.65,13.05,-0.4,8245600
3/30/2020,30.59,30.48,0.11,10749900,128.46,133.01,-4.55,21754000,60,62,-2,591200,"21,678.22","22,327.48",-649.26,"545,540,000",29.46,31,-1.54,29943508,42.8,44.53,-1.73,6985600,13.34,14.3,-0.96,6502600
3/31/2020,30.6,29.95,0.65,6022100,134.99,131.13,3.86,15746100,59.86,58.4,1.46,243300,"22,208.42","21,917.16",291.26,"571,210,000",30.74,30.97,-0.23,29466151,44.01,44.66,-0.65,8411200,13.93,13.58,0.35,6296200
4/1/2020,30.05,29.67,0.38,7004600,127.7,128.81,-1.11,12606100,56.35,52.92,3.43,259100,"21,227.38","20,943.51",283.87,"506,680,000",30.28,30.12,0.16,26709625,43.75,43.78,-0.03,6097700,14.18,14.03,0.15,5953000
4/2/2020,30.6,33.2,-2.6,15934400,129.12,133.15,-4.03,11594500,55.5,56.91,-1.41,245700,"20,819.46","21,413.44",-593.98,"529,540,000",30.27,31.19,-0.92,27186876,43.43,43.76,-0.33,5918800,13.65,13.86,-0.21,3110300
4/3/2020,32.81,34.84,-2.03,16896200,132.38,134.17,-1.79,10071200,57.98,52.75,5.23,227300,"21,285.93","21,052.53",233.4,"450,010,000",30.96,31.92,-0.96,32837370,43.77,43.96,-0.19,3372700,13.74,15.61,-1.87,9144800
4/6/2020,34.91,34.64,0.27,10841600,137.01,139.76,-2.75,14994400,55.5,52.73,2.77,331000,"21,693.63","22,679.99",-986.36,"610,760,000",32.18,32.8,-0.62,40503217,44.02,44.31,-0.29,5735200,15.6,16.1,-0.5,5415800
4/7/2020,33.81,32.02,1.79,10104300,139.86,137.48,2.38,11567100,50,45.6,4.4,1461700,"23,537.44","22,653.86",883.58,"594,660,000",33.21,31.89,1.32,24226295,43.48,43.1,0.38,5600600,15.79,14.9,0.89,4704500
