date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom
2020-01-30,48.0,85.0,48.0,22.0,90.0,19.0,66.0,40.0,50.0,0.0,0.0,37.0,0.0,17.0,70.0,13.0,2.0,5.0,50.0,5.0,37.0,4.0,42.0,91.0,4.0
2020-01-31,38.0,78.0,54.0,19.0,75.0,15.0,71.0,39.0,48.0,0.0,0.0,49.0,0.0,16.0,59.0,12.0,2.0,0.0,52.0,3.0,42.0,4.0,52.0,87.0,3.0
2020-02-01,38.0,69.0,24.0,26.0,57.0,21.0,66.0,41.0,44.0,0.0,0.0,29.0,0.0,12.0,42.0,16.0,2.0,0.0,59.0,2.0,43.0,3.0,35.0,78.0,3.0
2020-02-02,43.0,67.0,48.0,27.0,54.0,17.0,64.0,42.0,43.0,0.0,4.0,23.0,0.0,11.0,37.0,15.0,2.0,0.0,58.0,3.0,36.0,3.0,31.0,86.0,3.0
2020-02-03,44.0,81.0,46.0,23.0,78.0,18.0,62.0,41.0,48.0,0.0,3.0,46.0,0.0,14.0,58.0,10.0,2.0,10.0,41.0,4.0,39.0,7.0,41.0,71.0,3.0
2020-02-04,43.0,84.0,32.0,27.0,89.0,19.0,70.0,43.0,52.0,0.0,0.0,24.0,0.0,17.0,70.0,13.0,2.0,10.0,39.0,4.0,73.0,4.0,45.0,76.0,4.0
2020-02-05,38.0,85.0,45.0,25.0,86.0,19.0,63.0,41.0,52.0,4.0,4.0,57.0,0.0,22.0,54.0,13.0,2.0,0.0,40.0,4.0,54.0,4.0,48.0,85.0,4.0
2020-02-06,48.0,81.0,29.0,22.0,84.0,17.0,61.0,42.0,48.0,8.0,0.0,39.0,0.0,16.0,84.0,15.0,2.0,5.0,39.0,6.0,44.0,4.0,49.0,90.0,4.0
2020-02-07,45.0,71.0,33.0,22.0,77.0,17.0,69.0,39.0,46.0,4.0,7.0,34.0,0.0,12.0,66.0,13.0,3.0,11.0,47.0,5.0,45.0,4.0,45.0,87.0,4.0
2020-02-08,37.0,67.0,51.0,30.0,57.0,19.0,65.0,41.0,40.0,0.0,0.0,19.0,0.0,11.0,73.0,13.0,2.0,6.0,56.0,3.0,44.0,2.0,34.0,94.0,3.0
2020-02-09,41.0,70.0,69.0,28.0,67.0,19.0,67.0,44.0,42.0,10.0,9.0,55.0,0.0,12.0,54.0,14.0,2.0,0.0,58.0,4.0,38.0,2.0,38.0,97.0,3.0
2020-02-10,35.0,84.0,43.0,19.0,81.0,18.0,67.0,41.0,48.0,4.0,0.0,54.0,0.0,14.0,58.0,11.0,2.0,25.0,39.0,4.0,44.0,5.0,41.0,79.0,4.0
2020-02-11,37.0,85.0,38.0,22.0,93.0,19.0,61.0,41.0,51.0,8.0,7.0,30.0,0.0,16.0,78.0,11.0,2.0,5.0,35.0,5.0,44.0,5.0,46.0,87.0,4.0
2020-02-12,44.0,81.0,29.0,22.0,88.0,12.0,60.0,41.0,45.0,0.0,7.0,44.0,0.0,17.0,69.0,11.0,2.0,5.0,34.0,7.0,33.0,3.0,42.0,91.0,4.0
2020-02-13,43.0,79.0,17.0,23.0,83.0,17.0,66.0,38.0,38.0,12.0,7.0,33.0,0.0,12.0,82.0,10.0,2.0,10.0,37.0,5.0,29.0,6.0,41.0,85.0,4.0
2020-02-14,37.0,69.0,46.0,27.0,67.0,17.0,57.0,36.0,34.0,4.0,0.0,29.0,0.0,13.0,60.0,10.0,1.0,11.0,39.0,5.0,37.0,4.0,32.0,91.0,4.0
2020-02-15,40.0,61.0,40.0,33.0,51.0,19.0,63.0,38.0,37.0,5.0,4.0,35.0,0.0,10.0,54.0,13.0,1.0,12.0,46.0,4.0,39.0,2.0,27.0,92.0,3.0
2020-02-16,42.0,73.0,41.0,27.0,68.0,19.0,71.0,42.0,38.0,0.0,4.0,29.0,0.0,10.0,52.0,14.0,1.0,6.0,45.0,3.0,36.0,5.0,31.0,90.0,3.0
2020-02-17,40.0,85.0,61.0,26.0,75.0,21.0,71.0,40.0,40.0,4.0,4.0,47.0,0.0,12.0,70.0,12.0,1.0,5.0,42.0,4.0,50.0,3.0,32.0,85.0,4.0
2020-02-18,53.0,85.0,45.0,19.0,87.0,17.0,69.0,40.0,41.0,4.0,0.0,34.0,0.0,14.0,71.0,11.0,1.0,0.0,34.0,4.0,48.0,5.0,38.0,90.0,4.0
