,Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,Total Doses Administered,Daily Increase,Current Hospitalized COVID-19 Patients,Number of Flights
67,2020-03-10,25.71,22.34,3.37,13019500,139.97,141.64,-1.67,12698100,35.08,33.96,1.12,327500,"24,453.00","25,018.16",-565.16,"654,860,000",32.8,32.82,-0.02,40548329,0.0,0.0,0.0,171193.0
68,2020-03-11,22.54,23.61,-1.07,14809600,138.09,131.8,6.29,17763400,33.4,32.17,1.23,119000,"24,604.63","23,553.22","1,051.41","663,960,000",32.03,30.52,1.51,65350213,0.0,0.0,0.0,181341.0
69,2020-03-12,22.9,22.3,0.6,11305300,127.31,125.41,1.9,21539200,28.99,28.55,0.44,184100,"22,184.71","21,200.62",984.09,"908,260,000",28.92,28.48,0.44,62731445,0.0,0.0,0.0,179920.0
70,2020-03-13,23.0,21.3,1.7,11853100,129.32,134.29,-4.97,20084200,30.0,30.93,-0.93,197600,"21,973.82","23,185.62","-1,211.80","843,080,000",29.67,31.03,-1.37,60553038,0.0,0.0,0.0,171961.0
71,2020-03-16,23.76,26.49,-2.73,39850800,123.57,127.13,-3.56,18877900,49.36,40.0,9.36,1935900,"20,917.53","20,188.52",729.01,"770,130,000",28.41,28.63,-0.23,50995050,0.0,0.0,0.0,157293.0
72,2020-03-17,29.36,28.18,1.18,44484100,128.55,136.59,-8.04,18911800,65.0,66.6,-1.6,2939800,"20,487.05","21,237.38",-750.33,"793,060,000",30.02,30.51,-0.49,54220606,0.0,0.0,0.0,148325.0
73,2020-03-18,27.13,31.58,-4.45,28702300,131.02,134.96,-3.94,17521100,90.39,92.0,-1.61,3027000,"20,188.69","19,898.92",289.77,"871,360,000",29.19,30.7,-1.51,43884976,0.0,0.0,0.0,144330.0
74,2020-03-19,32.78,28.27,4.51,36952800,134.99,127.05,7.94,18482300,83.2,59.3,23.9,1598500,"19,830.01","20,087.19",-257.18,"780,300,000",30.57,28.86,1.71,59820929,0.0,0.0,0.0,132135.0
75,2020-03-20,29.25,28.2,1.05,16522400,126.83,119.89,6.94,19785100,54.95,46.5,8.45,1174000,"20,253.15","19,173.98","1,079.17","872,290,000",28.73,27.52,1.2,52488989,0.0,0.0,0.0,129138.0
76,2020-03-23,28.71,26.57,2.14,11080800,117.0,111.14,5.86,20815200,59.0,51.31,7.69,994100,"19,028.36","18,591.93",436.43,"787,970,000",27.29,27.03,0.26,52853041,0.0,0.0,0.0,95227.0
77,2020-03-24,27.09,25.82,1.27,12550500,118.76,119.18,-0.42,17604800,58.9,53.64,5.26,579700,"19,722.19","20,704.91",-982.72,"799,340,000",28.0,28.18,-0.18,44466784,0.0,0.0,0.0,98539.0
78,2020-03-25,25.0,27.13,-2.13,9651500,118.91,119.4,-0.49,13986100,53.63,47.2,6.43,333200,"21,050.34","21,200.55",-150.21,"796,320,000",27.99,28.23,-0.24,44601275,0.0,0.0,0.0,94477.0
