Date,MRNA_Open,MRNA_Close,MRNA_Difference,MRNA_Volume,JNJ_Open,JNJ_Close,JNJ_Difference,JNJ_Volume,BTNX_Open,BTNX_Close,BTNX_Difference,BTNX_Volume,DJIA_Open,DJIA_Close,DJIA_Difference,DJIA_Volume,PFE_Open,PFE_Close,PFE_Difference,PFE_Volume,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
1/31/20,21.14,20.51,0.63,2833600,149.75,148.87,0.88,8651700,30.36,29.21,1.15,138700,"28,813.04","28,256.03",557.01,"403,890,000",35.05,35.33,-0.28,33894005,38,78,54,19,75,15,71,39,48,0,0,49,0,16,59,12,2,0,52,3,42,4,52,87,3,0,56,17,61,25,29,46,18,62,58,12,20,46,40,11,77,46,62,40,1,0,20,45
2/3/20,20.66,20.38,0.28,3155400,149.42,150.17,-0.75,5765200,29.8,30.27,-0.47,177600,"28,319.65","28,399.81",-80.16,"307,910,000",35.54,35.59,-0.05,20875735,44,81,46,23,78,18,62,41,48,0,3,46,0,14,58,10,2,10,41,4,39,7,41,71,3,0,76,22,50,28,27,48,14,69,61,30,36,58,42,9,55,56,77,51,1,0,17,40
2/4/20,20.09,20.87,-0.78,1824400,151.49,151.6,-0.11,6541400,29.17,32.92,-3.75,137600,"28,696.74","28,807.63",-110.89,"332,750,000",36.13,35.76,0.37,31150865,43,84,32,27,89,19,70,43,52,0,0,24,0,17,70,13,2,10,39,4,73,4,45,76,4,0,58,31,50,25,28,49,15,67,62,30,37,51,52,9,66,60,76,47,1,0,17,38
2/5/20,20.99,20.05,0.94,2656800,151.72,153.99,-2.27,5979900,34,29.25,4.75,405000,"29,048.73","29,290.85",-242.12,"357,540,000",35.91,36.21,-0.3,29443490,38,85,45,25,86,19,63,41,52,4,4,57,0,22,54,13,2,0,40,4,54,4,48,85,4,0,56,30,55,31,28,46,14,67,63,30,36,49,53,9,69,52,79,45,1,0,16,40
2/6/20,20.27,19.88,0.39,1929700,154.25,153.53,0.72,6201200,32,32.93,-0.93,387400,"29,388.58","29,379.77",8.81,"263,700,000",36.47,36.3,0.17,21047748,48,81,29,22,84,17,61,42,48,8,0,39,0,16,84,15,2,5,39,6,44,4,49,90,4,0,61,20,50,30,28,43,15,63,64,25,34,49,41,7,83,52,72,42,1,0,17,43
2/7/20,19.79,23.24,-3.45,10144200,153.34,151.89,1.45,5700300,31.88,30.88,1,166700,"29,286.92","29,102.51",184.41,"252,860,000",36.39,36.1,0.29,21903596,45,71,33,22,77,17,69,39,46,4,7,34,0,12,66,13,3,11,47,5,45,4,45,87,4,0,60,27,59,24,26,50,18,61,61,11,11,47,37,8,72,50,61,39,1,0,19,45
2/10/20,23.5,23.65,-0.15,9356800,151.68,151.86,-0.18,4835600,30.99,32.12,-1.13,121700,"28,995.66","29,276.82",-281.16,"250,510,000",36.25,35.87,0.38,19998385,35,84,43,19,81,18,67,41,48,4,0,54,0,14,58,11,2,25,39,4,44,5,41,79,4,0,65,15,56,30,26,45,14,72,68,32,41,48,49,8,59,59,80,53,1,0,17,41
2/11/20,22.09,21.35,0.74,6188300,152.29,151.99,0.3,3715300,31.48,30.71,0.77,175300,"29,390.71","29,276.34",114.37,"279,540,000",35.95,36.14,-0.19,16027335,37,85,38,22,93,19,61,41,51,8,7,30,0,16,78,11,2,5,35,5,44,5,46,87,4,0,60,10,56,27,26,46,15,69,63,32,36,48,58,8,60,57,79,50,1,0,18,42
2/12/20,19.64,19.01,0.63,19231800,151.87,151.09,0.78,5166800,30,29.56,0.44,157700,"29,406.75","29,551.42",-144.67,"309,530,000",36.14,35.81,0.33,22944315,44,81,29,22,88,12,60,41,45,0,7,44,0,17,69,11,2,5,34,7,33,3,42,91,4,0,65,19,49,23,28,43,14,69,62,27,32,48,55,7,52,58,75,46,1,0,15,42
2/13/20,19.36,19.05,0.32,6837000,150.16,150.09,0.07,5480200,29.51,30.64,-1.13,107100,"29,436.03","29,423.31",12.72,"291,150,000",35.65,35.04,0.62,22099745,43,79,17,23,83,17,66,38,38,12,7,33,0,12,82,10,2,10,37,5,29,6,41,85,4,0,52,23,53,25,26,41,16,67,61,21,26,52,35,7,62,54,70,39,1,0,18,44
