Date,alcoholism,anxiety,athleisure,cutting hair,depression,dry cough,eczema,fever,flu symptoms,lack of smell,lack of taste,long-term care,mask mandates,obamacare,opiods,peloton,quarantine,short-term disability,star trek,telehealth,teslas,unemployment insurance,vaping,xanax,zoom,covid symptoms,hospitals near me,baconator,helmet,aluminium,plane,age,hen,table,digital,mutation,oppose,city,athlete,prediction,tumble,stroke,diabetes,lungs,ivermectin,hydroxychloroquine,bleach,lake
2020-02-09,41,70,69,28,67,19,67,44,42,10,9,55,0,12,54,14,2,0,58,4,38,2,38,97,3,0,59,14,53,31,27,56,12,69,64,26,29,47,48,7,73,59,73,46,1,0,16,42
2020-02-10,35,84,43,19,81,18,67,41,48,4,0,54,0,14,58,11,2,25,39,4,44,5,41,79,4,0,65,15,56,30,26,45,14,72,68,32,41,48,49,8,59,59,80,53,1,0,17,41
2020-02-11,37,85,38,22,93,19,61,41,51,8,7,30,0,16,78,11,2,5,35,5,44,5,46,87,4,0,60,10,56,27,26,46,15,69,63,32,36,48,58,8,60,57,79,50,1,0,18,42
2020-02-12,44,81,29,22,88,12,60,41,45,0,7,44,0,17,69,11,2,5,34,7,33,3,42,91,4,0,65,19,49,23,28,43,14,69,62,27,32,48,55,7,52,58,75,46,1,0,15,42
2020-02-13,43,79,17,23,83,17,66,38,38,12,7,33,0,12,82,10,2,10,37,5,29,6,41,85,4,0,52,23,53,25,26,41,16,67,61,21,26,52,35,7,62,54,70,39,1,0,18,44
2020-02-14,37,69,46,27,67,17,57,36,34,4,0,29,0,13,60,10,1,11,39,5,37,4,32,91,4,0,67,18,56,25,26,46,20,62,61,12,13,49,38,8,45,51,59,36,1,0,19,46
2020-02-15,40,61,40,33,51,19,63,38,37,5,4,35,0,10,54,13,1,12,46,4,39,2,27,92,3,0,52,30,69,26,29,52,17,69,55,11,13,45,39,8,60,53,61,39,1,0,21,46
2020-02-16,42,73,41,27,68,19,71,42,38,0,4,29,0,10,52,14,1,6,45,3,36,5,31,90,3,0,56,25,62,25,28,48,17,70,59,16,23,48,41,6,58,58,71,45,1,0,18,47
2020-02-17,40,85,61,26,75,21,71,40,40,4,4,47,0,12,70,12,1,5,42,4,50,3,32,85,4,0,65,16,59,26,28,47,14,68,58,27,33,48,50,7,55,61,76,47,1,0,18,42
2020-02-18,53,85,45,19,87,17,69,40,41,4,0,34,0,14,71,11,1,0,34,4,48,5,38,90,4,0,50,20,59,30,27,49,15,68,62,29,33,48,53,8,61,54,80,50,1,0,17,42
2020-02-19,49,87,37,20,87,19,68,38,42,4,4,32,0,15,70,11,1,20,39,6,38,6,42,87,4,0,50,12,56,28,27,49,14,66,59,29,42,47,55,7,64,54,76,50,1,0,15,41
2020-02-20,46,82,31,22,85,15,69,36,34,4,7,40,0,45,55,10,1,0,37,5,50,4,38,86,4,0,66,12,55,30,27,46,16,65,58,26,29,49,50,6,67,57,74,45,1,0,19,44
